t	f
0	0
0.01	4.23575E-06
0.02	1.24626E-05
0.03	2.72458E-05
0.04	5.24553E-05
0.05	9.37988E-05
0.06	0.000159521
0.07	0.000261302
0.08	0.000415378
0.09	0.000643915
0.1	0.000976639
0.11	0.001452716
0.12	0.002122846
0.13	0.003051492
0.14	0.004319142
0.15	0.006024412
0.16	0.008285781
0.17	0.011242667
0.18	0.015055507
0.19	0.019904468
0.2	0.025986404
0.21	0.03350968
0.22	0.042686546
0.23	0.053722866
0.24	0.066805142
0.25	0.082084999
0.26	0.099661561
0.27	0.119562438
0.28	0.141724323
0.29	0.16597453
0.3	0.192014999
0.31	0.219410459
0.32	0.247582491
0.33	0.275811075
0.34	0.303244969
0.35	0.328921764
0.36	0.351797893
0.37	0.370788084
0.38	0.384812984
0.39	0.39285282
0.4	0.394004237
0.41	0.387536859
0.42	0.372945738
0.43	0.349995787
0.44	0.31875454
0.45	0.279610139
0.46	0.233272357
0.47	0.180755566
0.48	0.123343859
0.49	0.062539859
0.5	1.22515E-16
0.51	-0.062539859
0.52	-0.123343859
0.53	-0.180755566
0.54	-0.233272357
0.55	-0.279610139
0.56	-0.31875454
0.57	-0.349995787
0.58	-0.372945738
0.59	-0.387536859
0.6	-0.394004237
0.61	-0.39285282
0.62	-0.384812984
0.63	-0.370788084
0.64	-0.351797893
0.65	-0.328921764
0.66	-0.303244969
0.67	-0.275811075
0.68	-0.247582491
0.69	-0.219410459
0.7	-0.192014999
0.71	-0.16597453
0.72	-0.141724323
0.73	-0.119562438
0.74	-0.099661561
0.75	-0.082084999
0.76	-0.066805142
0.77	-0.053722866
0.78	-0.042686546
0.79	-0.03350968
0.8	-0.025986404
0.81	-0.019904468
0.82	-0.015055507
0.83	-0.011242667
0.84	-0.008285781
0.85	-0.006024412
0.86	-0.004319142
0.87	-0.003051492
0.88	-0.002122846
0.89	-0.001452716
0.9	-0.000976639
0.91	-0.000643915
0.92	-0.000415378
0.93	-0.000261302
0.94	-0.000159521
0.95	-9.37988E-05
0.96	-5.24553E-05
0.97	-2.72458E-05
0.98	-1.24626E-05
0.99	-4.23575E-06
1	-1.11243E-20
